HugoSymbol,RoleInCancer,Kinase_PPtase,TF,Location
RAD21,TSGs,Other,TFs,Other
RAD51B,TSGs,Other,Other,Other
RAF1,Oncogenes,Kinases,Other,Other
RAF1,TSGs,Kinases,Other,Other
RALGDS,Oncogenes,Other,Other,Other
RANBP2,TSGs,Other,Other,Other
RAP1GDS1,Oncogenes,Other,Other,Other
RARA,Oncogenes,Other,TFs,Other
RB1,TSGs,Other,Other,Other
RBM10,TSGs,Other,Other,Other
RBM15,Oncogenes,Other,Other,Other
RECQL4,Oncogenes,Other,Other,Other
RECQL4,TSGs,Other,Other,Other
REL,Oncogenes,Other,TFs,Other
RET,Oncogenes,Kinases,Other,Receptors
RFWD3,TSGs,Other,Other,Other
RGPD3,Other,Other,Other,Other
RGS7,Other,Other,Other,Other
RHOA,Oncogenes,Other,Other,Other
RHOA,TSGs,Other,Other,Other
RHOH,TSGs,Other,Other,Other
RMI2,TSGs,Other,Other,Other
RNF213,Other,Other,Other,Other
RNF43,Oncogenes,Other,Other,Receptors
RNF43,TSGs,Other,Other,Receptors
ROBO2,TSGs,Other,Other,Receptors
ROS1,Oncogenes,Kinases,Other,Receptors
RPL10,TSGs,Other,Other,Other
RPL22,TSGs,Other,Other,Other
RPL5,TSGs,Other,Other,Other
RPN1,Other,Other,Other,Receptors
RSPO2,TSGs,Other,Other,Other
RSPO3,Oncogenes,Other,Other,Other
RSPO3,TSGs,Other,Other,Other
RUNX1,Oncogenes,Other,TFs,Other
RUNX1,TSGs,Other,TFs,Other
RUNX1T1,Oncogenes,Other,Other,Other
RUNX1T1,TSGs,Other,Other,Other
S100A7,Oncogenes,Other,Other,Other
SALL4,Oncogenes,Other,TFs,Other
SALL4,TSGs,Other,TFs,Other
SBDS,TSGs,Other,Other,Other
SDC4,Other,Other,Other,Other
SDHA,TSGs,Other,Other,Other
SDHAF2,TSGs,Other,Other,Other
SDHB,TSGs,Other,Other,Other
SDHC,TSGs,Other,Other,Other
SDHD,TSGs,Other,Other,Other
SEPT5,Other,Other,Other,Other
SEPT6,Other,Other,Other,Other
SEPT9,Other,Other,Other,Other
SET,Oncogenes,Other,Other,Other
SET,TSGs,Other,Other,Other
SETBP1,Oncogenes,Other,Other,Other
SETD1B,TSGs,Other,Other,Other
SETD2,TSGs,Other,Other,Other
SETDB1,Oncogenes,Other,TFs,Other
SF3B1,Oncogenes,Other,Other,Other
SFPQ,Oncogenes,Other,Other,Other
SFPQ,TSGs,Other,Other,Other
SFRP4,TSGs,Other,Other,Other
SGK1,Oncogenes,Kinases,Other,Other
SH2B3,TSGs,Other,Other,Other
SH3GL1,Oncogenes,Other,Other,Other
SHTN1,Other,Other,Other,Other
SIRPA,TSGs,Other,Other,Other
SIX1,Oncogenes,Other,TFs,Other
SIX2,Oncogenes,Other,TFs,Other
SKI,Oncogenes,Other,Other,Other
SLC34A2,TSGs,Other,Other,Receptors
SLC45A3,Other,Other,Other,Other
SMAD2,TSGs,Other,TFs,Other
SMAD3,TSGs,Other,TFs,Other
SMAD4,TSGs,Other,TFs,Other
SMARCA4,TSGs,Other,TFs,Other
SMARCB1,TSGs,Other,Other,Other
SMARCD1,TSGs,Other,TFs,Other
SMARCE1,TSGs,Other,Other,Other
SMC1A,TSGs,Other,Other,Other
SMO,Oncogenes,Other,Other,Receptors
SMO,TSGs,Other,Other,Receptors
SND1,Oncogenes,Other,Other,Other
SNX29,Other,Other,Other,Other
SOCS1,TSGs,Other,Other,Other
SOX2,Oncogenes,Other,TFs,Other
SOX21,TSGs,Other,TFs,Other
SPECC1,Other,Other,Other,Other
SPEN,TSGs,Other,Other,Other
SPOP,TSGs,Other,Other,Other
SRC,Oncogenes,Kinases,Other,Other
SRGAP3,TSGs,Other,Other,Other
SRSF2,Oncogenes,Other,Other,Other
SRSF3,Oncogenes,Other,Other,Other
SS18,Oncogenes,Other,Other,Other
SS18L1,Other,Other,Other,Other
SSX1,Oncogenes,Other,Other,Other
SSX2,Oncogenes,Other,Other,Other
SSX4,Oncogenes,Other,Other,Other
STAG1,TSGs,Other,Other,Other
STAG2,TSGs,Other,Other,Other
STAT3,Oncogenes,Other,TFs,Other
STAT3,TSGs,Other,TFs,Other
STAT5B,Oncogenes,Other,Other,Other
STAT5B,TSGs,Other,Other,Other
STAT6,Oncogenes,Other,TFs,Other
STIL,Oncogenes,Other,Other,Other
STK11,TSGs,Kinases,Other,Other
STRN,Other,Other,Other,Other
SUFU,TSGs,Other,Other,Other
SUZ12,Oncogenes,Other,TFs,Other
SUZ12,TSGs,Other,TFs,Other
SYK,Oncogenes,Kinases,Other,Other
SYK,TSGs,Kinases,Other,Other
TAF15,Oncogenes,Other,TFs,Other
TAL1,Oncogenes,Other,TFs,Other
TAL2,Oncogenes,Other,TFs,Other
TBL1XR1,Oncogenes,Other,Other,Other
TBL1XR1,TSGs,Other,Other,Other
TBX3,Oncogenes,Other,TFs,Other
TBX3,TSGs,Other,TFs,Other
TCEA1,Other,Other,Other,Other
TCF12,Other,Other,TFs,Other
TCF3,Oncogenes,Other,TFs,Other
TCF3,TSGs,Other,TFs,Other
TCF7L2,Oncogenes,Other,TFs,Other
TCF7L2,TSGs,Other,TFs,Other
TCL1A,Oncogenes,Other,Other,Other
TEC,Oncogenes,Kinases,Other,Other
TENT5C,TSGs,Other,Other,Other
TERT,Oncogenes,Other,Other,Other
TERT,TSGs,Other,Other,Other
TET1,Oncogenes,Other,TFs,Other
TET1,TSGs,Other,TFs,Other
TET2,TSGs,Other,Other,Other
TFE3,Oncogenes,Other,TFs,Other
TFEB,Oncogenes,Other,TFs,Other
TFG,Oncogenes,Other,Other,Other
TFPT,Oncogenes,Other,Other,Other
TFRC,Other,Other,Other,Receptors
TGFBR2,TSGs,Kinases,Other,Other
THRAP3,Other,Other,Other,Other
TLX1,Oncogenes,Other,TFs,Other
TLX3,Oncogenes,Other,TFs,Other
TMEM127,TSGs,Other,Other,Other
TMPRSS2,Oncogenes,Other,Other,Other
TMSB4X,Oncogenes,Other,Other,Other
TNC,Oncogenes,Other,Other,Other
TNFAIP3,TSGs,Other,Other,Other
TNFRSF14,TSGs,Other,Other,Other
TNFRSF17,Oncogenes,Other,Other,Receptors
TOP1,Oncogenes,Other,Other,Other
TP53,TSGs,Other,TFs,Other
TP63,Oncogenes,Other,TFs,Other
TPM3,Oncogenes,Other,Other,Other
TPM4,Other,Other,Other,Other
TPR,Oncogenes,Other,Other,Other
TRA,Other,Other,Other,Other
TRAF7,TSGs,Other,Other,Other
TRB,Other,Other,Other,Other
TRD,Other,Other,Other,Other
TRIM24,Oncogenes,Other,Other,Other
TRIM24,TSGs,Other,Other,Other
TRIM27,Oncogenes,Other,Other,Other
TRIM33,TSGs,Kinases,Other,Other
TRIP11,Other,Other,Other,Other
TRRAP,Oncogenes,Kinases,Other,Other
TSC1,TSGs,Other,Other,Other
TSC2,TSGs,Other,Other,Other
TSHR,Oncogenes,Other,Other,Receptors
U2AF1,Oncogenes,Other,Other,Other
UBR5,Oncogenes,Other,Other,Other
UBR5,TSGs,Other,Other,Other
USP44,TSGs,Other,Other,Other
USP6,Oncogenes,Other,Other,Other
USP8,Oncogenes,Other,Other,Other
USP9X,Other,Other,Other,Other
VAV1,Oncogenes,Other,Other,Other
VHL,Oncogenes,Other,Other,Other
VHL,TSGs,Other,Other,Other
VTI1A,Other,Other,Other,Other
WAS,Oncogenes,Other,Other,Other
WDCP,Other,Other,Other,Other
WIF1,TSGs,Other,Other,Other
WNK2,TSGs,Kinases,Other,Other
WRN,TSGs,Other,Other,Other
WT1,Oncogenes,Other,TFs,Other
WT1,TSGs,Other,TFs,Other
WWTR1,Oncogenes,Other,Other,Other
XPA,TSGs,Other,Other,Other
XPC,TSGs,Other,Other,Other
XPO1,Oncogenes,Other,Other,Other
XPO1,TSGs,Other,Other,Other
YWHAE,TSGs,Other,Other,Other
ZBTB16,Oncogenes,Other,TFs,Other
ZBTB16,TSGs,Other,TFs,Other
ZCCHC8,Other,Other,Other,Other
ZEB1,Oncogenes,Other,Other,Other
ZEB1,Oncogenes,Other,TFs,Other
ZFHX3,TSGs,Other,TFs,Other
ZMYM2,Oncogenes,Other,Other,Other
ZMYM3,TSGs,Other,Other,Other
ZNF331,TSGs,Other,TFs,Other
ZNF384,Other,Other,TFs,Other
ZNF429,Other,Other,TFs,Other
ZNF479,Other,Other,TFs,Other
ZNF521,Oncogenes,Other,TFs,Other
ZNRF3,TSGs,Other,Other,Other
ZRSR2,TSGs,Other,Other,Other
