HugoSymbol,RoleInCancer,Kinase_PPtase,TF,Location
CEBPA,TSGs,Other,TFs,Other
CEP89,Other,Other,Other,Other
CHCHD7,Other,Other,Other,Other
CHD2,TSGs,Other,TFs,Other
CHD4,Oncogenes,Other,Other,Other
CHEK2,TSGs,Kinases,Other,Other
CHIC2,Other,Other,Other,Other
CHST11,Oncogenes,Other,Other,Other
CIC,Oncogenes,Other,Other,Other
CIC,TSGs,Other,Other,Other
CIITA,TSGs,Other,TFs,Other
CLIP1,Other,Other,Other,Other
CLP1,Other,Other,Other,Other
CLTC,TSGs,Other,Other,Other
CLTCL1,TSGs,Other,Other,Other
CNBD1,Other,Other,Other,Other
CNBP,TSGs,Other,Other,Other
CNOT3,TSGs,Other,TFs,Other
CNTNAP2,TSGs,Other,Other,Other
CNTRL,Other,Other,Other,Other
COL1A1,Other,Other,Other,Other
COL2A1,Other,Other,Other,Other
COL3A1,Other,Other,Other,Other
COX6C,Other,Other,Other,Other
CPEB3,TSGs,Other,Other,Other
CREB1,Oncogenes,Other,TFs,Other
CREB3L1,TSGs,Other,TFs,Other
CREB3L2,Oncogenes,Other,TFs,Other
CREBBP,Oncogenes,Other,Other,Other
CREBBP,TSGs,Other,Other,Other
CRLF2,Oncogenes,Other,Other,Receptors
CRNKL1,Other,Other,Other,Other
CRTC1,Oncogenes,Other,Other,Other
CRTC3,Other,Other,Other,Other
CSF1R,Oncogenes,Kinases,Other,Receptors
CSF3R,Oncogenes,Other,Other,Receptors
CSMD3,TSGs,Other,Other,Other
CTCF,TSGs,Other,TFs,Other
CTNNA2,Oncogenes,Other,Other,Other
CTNNA2,TSGs,Other,Other,Other
CTNNB1,Oncogenes,Other,TFs,Other
CTNND1,TSGs,Other,Other,Other
CTNND2,Oncogenes,Other,Other,Other
CUL3,TSGs,Other,Other,Other
CUX1,Oncogenes,Other,TFs,Other
CUX1,TSGs,Other,TFs,Other
CXCR4,Oncogenes,Other,Other,Receptors
CYLD,TSGs,Other,Other,Other
CYP2C8,Other,Other,Other,Other
CYSLTR2,Oncogenes,Other,Other,Other
DAXX,Oncogenes,Other,Other,Other
DAXX,TSGs,Other,Other,Other
DCAF12L2,Other,Other,Other,Other
DCC,TSGs,Other,Other,Receptors
DCTN1,Other,Other,Other,Other
DDB2,Oncogenes,Other,Other,Other
DDB2,TSGs,Other,Other,Other
DDIT3,Oncogenes,Other,TFs,Other
DDR2,Oncogenes,Kinases,Other,Receptors
DDR2,TSGs,Kinases,Other,Receptors
DDX10,TSGs,Other,Other,Other
DDX3X,TSGs,Other,Other,Other
DDX5,Oncogenes,Other,Other,Other
DDX5,TSGs,Other,Other,Other
DDX6,Oncogenes,Other,Other,Other
DEK,Oncogenes,Other,Other,Other
DGCR8,Oncogenes,Other,Other,Other
DICER1,TSGs,Other,Other,Other
DNAJB1,TSGs,Other,Other,Other
DNM2,TSGs,Other,Other,Other
DNMT3A,TSGs,Other,Other,Other
DROSHA,TSGs,Other,TFs,Other
DUX4L1,Other,Other,Other,Other
EBF1,TSGs,Other,TFs,Other
ECT2L,Other,Other,Other,Other
EED,TSGs,Other,TFs,Other
EGFR,Oncogenes,Kinases,Other,Receptors
EIF1AX,Other,Other,Other,Other
EIF3E,Oncogenes,Other,Other,Other
EIF3E,TSGs,Other,Other,Other
EIF4A2,Other,Other,Other,Other
ELF3,TSGs,Other,TFs,Other
ELF4,Oncogenes,Other,TFs,Other
ELF4,TSGs,Other,TFs,Other
ELK4,Oncogenes,Other,TFs,Other
ELL,Oncogenes,Other,Other,Other
ELL,TSGs,Other,Other,Other
ELN,Other,Other,Other,Other
EML4,Oncogenes,Other,Other,Other
EP300,TSGs,Other,TFs,Other
EPAS1,Oncogenes,Other,Other,Other
EPAS1,TSGs,Other,Other,Other
EPHA3,TSGs,Kinases,Other,Receptors
EPHA7,Other,Other,Other,Receptors
EPS15,Oncogenes,Other,Other,Other
EPS15,TSGs,Other,Other,Other
ERBB2,Oncogenes,Kinases,Other,Receptors
ERBB3,Oncogenes,Kinases,Other,Receptors
ERBB4,Oncogenes,Kinases,Other,Receptors
ERBB4,TSGs,Kinases,Other,Receptors
ERC1,Other,Other,Other,Other
ERCC2,TSGs,Other,Other,Other
ERCC3,TSGs,Other,Other,Other
ERCC4,TSGs,Other,Other,Other
ERCC5,TSGs,Other,Other,Other
ERG,Oncogenes,Other,TFs,Other
ESR1,Oncogenes,Other,TFs,Other
ESR1,TSGs,Other,TFs,Other
ETNK1,TSGs,Other,Other,Other
ETV1,Oncogenes,Other,TFs,Other
ETV4,Oncogenes,Other,TFs,Other
ETV5,Oncogenes,Other,Other,Other
ETV6,Oncogenes,Other,TFs,Other
ETV6,TSGs,Other,TFs,Other
EWSR1,Oncogenes,Other,Other,Other
EXT1,TSGs,Other,Other,Other
EXT2,TSGs,Other,Other,Other
EZH2,Oncogenes,Other,TFs,Other
EZH2,TSGs,Other,TFs,Other
EZR,Other,Other,Other,Other
FAM131B,Other,Other,Other,Other
FAM135B,Other,Other,Other,Other
FAM47C,Other,Other,Other,Other
FANCA,TSGs,Other,Other,Other
FANCC,TSGs,Other,Other,Other
FANCD2,TSGs,Other,Other,Other
FANCE,TSGs,Other,Other,Other
FANCF,TSGs,Other,Other,Other
FANCG,TSGs,Other,Other,Other
FAS,TSGs,Other,Other,Other
FAT1,TSGs,Other,Other,Receptors
FAT3,TSGs,Other,Other,Receptors
FAT4,TSGs,Other,Other,Receptors
FBLN2,TSGs,Other,Other,Other
FBXO11,TSGs,Other,Other,Other
FBXW7,TSGs,Other,Other,Other
FCGR2B,Oncogenes,Other,Other,Other
FCRL4,Oncogenes,Other,Other,Receptors
FEN1,TSGs,Other,Other,Other
FES,Oncogenes,Kinases,Other,Other
FES,TSGs,Kinases,Other,Other
FEV,Oncogenes,Other,TFs,Other
FGFR1,Oncogenes,Kinases,Other,Receptors
FGFR1OP,Oncogenes,Other,Other,Other
FGFR2,Oncogenes,Kinases,Other,Receptors
FGFR3,Oncogenes,Kinases,Other,Receptors
FGFR4,Oncogenes,Kinases,Other,Receptors
FH,TSGs,Other,Other,Other
FHIT,TSGs,Other,Other,Other
FIP1L1,Oncogenes,Other,Other,Other
FKBP9,Other,Other,Other,Other
FLCN,TSGs,Other,Other,Other
FLI1,Oncogenes,Other,TFs,Other
FLNA,TSGs,Other,Other,Other
FLT3,Oncogenes,Kinases,Other,Receptors
FLT3,TSGs,Kinases,Other,Receptors
FLT4,Oncogenes,Kinases,Other,Other
FNBP1,Other,Other,Other,Other
FOXA1,Oncogenes,Other,TFs,Other
FOXA1,TSGs,Other,TFs,Other
FOXL2,Oncogenes,Other,TFs,Other
FOXL2,TSGs,Other,TFs,Other
FOXO1,Oncogenes,Other,TFs,Other
FOXO1,TSGs,Other,TFs,Other
FOXO3,Oncogenes,Other,TFs,Other
FOXO3,TSGs,Other,TFs,Other
FOXO4,Oncogenes,Other,TFs,Other
FOXO4,TSGs,Other,TFs,Other
FOXP1,Oncogenes,Other,TFs,Other
FOXP1,TSGs,Other,TFs,Other
FOXR1,Oncogenes,Other,TFs,Other
FSTL3,Oncogenes,Other,Other,Other
FUBP1,Oncogenes,Other,Other,Other
FUS,Oncogenes,Other,TFs,Other
FUS,TSGs,Other,TFs,Other
GAS7,Oncogenes,Other,Other,Other
GATA1,Oncogenes,Other,TFs,Other
GATA1,TSGs,Other,TFs,Other
GATA2,Oncogenes,Other,TFs,Other
