ensembl_gene_symbol	ensembl_gene_id	hgnc_id	ncbi_gene_id
CNBD1	ENSG00000176571.12	HGNC:26663	168975
CNOT9	ENSG00000144580.14	HGNC:10445	9125
CNTNAP2	ENSG00000174469.23	HGNC:13830	26047
CNTRL	ENSG00000119397.19	HGNC:1858	11064
COL11A1	ENSG00000060718.22	HGNC:2186	1301
COL1A2	ENSG00000164692.19	HGNC:2198	1278
COL3A1	ENSG00000168542.16	HGNC:2201	1281
COL6A6	ENSG00000206384.11	HGNC:27023	131873
CPEB3	ENSG00000107864.15	HGNC:21746	22849
CRBN	ENSG00000113851.16	HGNC:30185	51185
CRNKL1	ENSG00000101343.15	HGNC:15762	51340
CRYBG1	ENSG00000112297.18	HGNC:356	202
CSDE1	ENSG00000009307.17	HGNC:29905	7812
CSF1	ENSG00000184371.14	HGNC:2432	1435
CSMD1	ENSG00000183117.20	HGNC:14026	64478
CSMD3	ENSG00000164796.18	HGNC:19291	114788
CSNK2A1	ENSG00000101266.19	HGNC:2457	1457
CSPG4	ENSG00000173546.7	HGNC:2466	1464
CTNNA2	ENSG00000066032.19	HGNC:2510	1496
CTNND1	ENSG00000198561.16	HGNC:2515	1500
CTNND2	ENSG00000169862.20	HGNC:2516	1501
CUL4A	ENSG00000139842.15	HGNC:2554	8451
CX3CL1	ENSG00000006210.7	HGNC:10647	6376
CYP19A1	ENSG00000137869.16	HGNC:2594	1588
CYP2C8	ENSG00000138115.15	HGNC:2622	1558
CYP2D6	ENSG00000100197.23	HGNC:2625	1565
CYP3A4	ENSG00000160868.16	HGNC:2637	1576
CYP3A5	ENSG00000106258.15	HGNC:2638	1577
DAB2	ENSG00000153071.15	HGNC:2662	1601
DACH1	ENSG00000276644.5	HGNC:2663	1602
DCAF12L2	ENSG00000198354.7	HGNC:32950	340578
DCC	ENSG00000187323.12	HGNC:2701	1630
DDX4	ENSG00000152670.19	HGNC:18700	54514
DDX6	ENSG00000110367.14	HGNC:2747	1656
DEPDC5	ENSG00000100150.20	HGNC:18423	9681
DGKA	ENSG00000065357.20	HGNC:2849	1606
DHX9	ENSG00000135829.17	HGNC:2750	1660
DIAPH2	ENSG00000147202.19	HGNC:2877	1730
DKK1	ENSG00000107984.10	HGNC:2891	22943
DKK2	ENSG00000155011.9	HGNC:2892	27123
DKK3	ENSG00000050165.19	HGNC:2893	27122
DKK4	ENSG00000104371.5	HGNC:2894	27121
DLC1	ENSG00000164741.15	HGNC:2897	10395
DLG2	ENSG00000150672.18	HGNC:2901	1740
DMD	ENSG00000198947.18	HGNC:2928	1756
DNM2	ENSG00000079805.19	HGNC:2974	1785
DOCK8	ENSG00000107099.18	HGNC:19191	81704
DRD5	ENSG00000169676.6	HGNC:3026	1816
DSP	ENSG00000096696.15	HGNC:3052	1832
DTX1	ENSG00000135144.8	HGNC:3060	1840
DUSP2	ENSG00000158050.5	HGNC:3068	1844
DYRK1A	ENSG00000157540.22	HGNC:3091	1859
E2F1	ENSG00000101412.13	HGNC:3113	1869
E2F2	ENSG00000007968.7	HGNC:3114	1870
ECSIT	ENSG00000130159.15	HGNC:29548	51295
ECT2L	ENSG00000203734.13	HGNC:21118	345930
EEF1A1	ENSG00000156508.19	HGNC:3189	1915
EEF2	ENSG00000167658.16	HGNC:3214	1938
EGF	ENSG00000138798.13	HGNC:3229	1950
