ensembl_gene_symbol	ensembl_gene_id	hgnc_id	ncbi_gene_id
RRAS	ENSG00000126458.4	HGNC:10447	6237
RRM1	ENSG00000167325.15	HGNC:10451	6240
RRM2	ENSG00000171848.16	HGNC:10452	6241
RSF1	ENSG00000048649.14	HGNC:18118	51773
RXRA	ENSG00000186350.12	HGNC:10477	6256
RYR1	ENSG00000196218.14	HGNC:10483	6261
S100A7	ENSG00000143556.9	HGNC:10497	6278
S100A8	ENSG00000143546.10	HGNC:10498	6279
SALL4	ENSG00000101115.13	HGNC:15924	57167
SAMHD1	ENSG00000101347.11	HGNC:15925	25939
SDCBP	ENSG00000137575.12	HGNC:10662	6386
SEMA5B	ENSG00000082684.16	HGNC:10737	54437
SEMG2	ENSG00000124157.7	HGNC:10743	6407
SERPINB3	ENSG00000057149.16	HGNC:10569	6317
SERPINB4	ENSG00000206073.11	HGNC:10570	6318
SESN1	ENSG00000080546.14	HGNC:21595	27244
SESN2	ENSG00000130766.5	HGNC:20746	83667
SESN3	ENSG00000149212.12	HGNC:23060	143686
SETD1A	ENSG00000099381.19	HGNC:29010	9739
SETD1B	ENSG00000139718.12	HGNC:29187	23067
SETD3	ENSG00000183576.13	HGNC:20493	84193
SETD4	ENSG00000185917.14	HGNC:1258	54093
SETD5	ENSG00000168137.20	HGNC:25566	55209
SETD6	ENSG00000103037.12	HGNC:26116	79918
SETD7	ENSG00000145391.14	HGNC:30412	80854
SETDB2	ENSG00000136169.17	HGNC:20263	83852
SF3B2	ENSG00000087365.16	HGNC:10769	10992
SFRP1	ENSG00000104332.12	HGNC:10776	6422
SFRP2	ENSG00000145423.5	HGNC:10777	6423
SFRP4	ENSG00000106483.12	HGNC:10778	6424
SGCZ	ENSG00000185053.14	HGNC:14075	137868
SHH	ENSG00000164690.8	HGNC:10848	6469
SHTN1	ENSG00000187164.20	HGNC:29319	57698
SIN3A	ENSG00000169375.16	HGNC:19353	25942
SIRPA	ENSG00000198053.12	HGNC:9662	140885
SIRT1	ENSG00000096717.12	HGNC:14929	23411
SIX2	ENSG00000170577.8	HGNC:10888	10736
SKI	ENSG00000157933.10	HGNC:10896	6497
SKP2	ENSG00000145604.17	HGNC:10901	6502
SLC6A3	ENSG00000142319.18	HGNC:11049	6531
SLC9A3R1	ENSG00000109062.12	HGNC:11075	9368
SLCO1B1	ENSG00000134538.3	HGNC:10959	10599
SMARCA1	ENSG00000102038.16	HGNC:11097	6594
SMG1	ENSG00000157106.18	HGNC:30045	23049
SMTNL2	ENSG00000188176.12	HGNC:24764	342527
SMYD3	ENSG00000185420.19	HGNC:15513	64754
SNX29	ENSG00000048471.14	HGNC:30542	92017
SOCS3	ENSG00000184557.4	HGNC:19391	9021
SOX21	ENSG00000125285.6	HGNC:11197	11166
SOX4	ENSG00000124766.7	HGNC:11200	6659
SP140	ENSG00000079263.19	HGNC:17133	11262
SPATA31A7	ENSG00000276040.4	HGNC:32007	26165
SPECC1	ENSG00000128487.19	HGNC:30615	92521
SPTAN1	ENSG00000197694.18	HGNC:11273	6709
SRSF1	ENSG00000136450.13	HGNC:10780	6426
SRSF3	ENSG00000112081.17	HGNC:10785	6428
STAG3	ENSG00000066923.18	HGNC:11356	10734
STAT2	ENSG00000170581.14	HGNC:11363	6773
STK19	ENSG00000204344.16	HGNC:11398	8859
STS	ENSG00000101846.9	HGNC:11425	412
SYNE1	ENSG00000131018.25	HGNC:17089	23345
SYNE2	ENSG00000054654.20	HGNC:17084	23224
SZT2	ENSG00000198198.17	HGNC:29040	23334
TACC3	ENSG00000013810.21	HGNC:11524	10460
TACSTD2	ENSG00000184292.7	HGNC:11530	4070
TAP1	ENSG00000168394.12	HGNC:43	6890
TBK1	ENSG00000183735.11	HGNC:11584	29110
TCF4	ENSG00000196628.20	HGNC:11634	6925
TEC	ENSG00000135605.13	HGNC:11719	7006
TEK	ENSG00000120156.22	HGNC:11724	7010
TENM1	ENSG00000009694.13	HGNC:8117	10178
TET3	ENSG00000187605.16	HGNC:28313	200424
TFAP4	ENSG00000090447.12	HGNC:11745	7023
TFPT	ENSG00000105619.14	HGNC:13630	29844
TG	ENSG00000042832.12	HGNC:11764	7038
TGFA	ENSG00000163235.16	HGNC:11765	7039
TGFBR3	ENSG00000069702.11	HGNC:11774	7049
TGIF1	ENSG00000177426.22	HGNC:11776	7050
THBS1	ENSG00000137801.11	HGNC:11785	7057
THBS2	ENSG00000186340.17	HGNC:11786	7058
TIGAR	ENSG00000078237.7	HGNC:1185	57103
TLE1	ENSG00000196781.16	HGNC:11837	7088
TLE2	ENSG00000065717.15	HGNC:11838	7089
TLE3	ENSG00000140332.18	HGNC:11839	7090
TLE4	ENSG00000106829.20	HGNC:11840	7091
TLL1	ENSG00000038295.8	HGNC:11843	7092
TLR4	ENSG00000136869.16	HGNC:11850	7099
TMEM30A	ENSG00000112697.17	HGNC:16667	55754
TMSB4X	ENSG00000205542.11	HGNC:11881	7114
TNC	ENSG00000041982.16	HGNC:5318	3371
TNF	ENSG00000232810.4	HGNC:11892	7124
TNFRSF17	ENSG00000048462.11	HGNC:11913	608
TNFRSF8	ENSG00000120949.15	HGNC:11923	943
TNFSF10	ENSG00000121858.11	HGNC:11925	8743
TNFSF13	ENSG00000161955.17	HGNC:11928	8741
TNS4	ENSG00000131746.13	HGNC:24352	84951
TONSL	ENSG00000160949.18	HGNC:7801	4796
TP53BP2	ENSG00000143514.17	HGNC:12000	7159
TP53INP1	ENSG00000164938.14	HGNC:18022	94241
TP73	ENSG00000078900.15	HGNC:12003	7161
TPMT	ENSG00000137364.5	HGNC:12014	7172
TPTE	ENSG00000274391.5	HGNC:12023	7179
TPX2	ENSG00000088325.16	HGNC:1249	22974
TRAF5	ENSG00000082512.15	HGNC:12035	7188
TRAF6	ENSG00000175104.15	HGNC:12036	7189
TRIB3	ENSG00000101255.12	HGNC:16228	57761
TRIM51	ENSG00000124900.12	HGNC:19023	84767
TRIO	ENSG00000038382.21	HGNC:12303	7204
TRIP11	ENSG00000100815.12	HGNC:12305	9321
TRPM1	ENSG00000134160.15	HGNC:7146	4308
TRRAP	ENSG00000196367.14	HGNC:12347	8295
TTK	ENSG00000112742.10	HGNC:12401	7272
TXNIP	ENSG00000265972.6	HGNC:16952	10628
TYMS	ENSG00000176890.16	HGNC:12441	7298
TYR	ENSG00000077498.9	HGNC:12442	7299
TYRP1	ENSG00000107165.13	HGNC:12450	7306
UBE2A	ENSG00000077721.16	HGNC:12472	7319
UBR5	ENSG00000104517.13	HGNC:16806	51366
UGT1A8	ENSG00000242366.4	HGNC:12540	54576
UPF1	ENSG00000005007.13	HGNC:9962	5976
USP22	ENSG00000124422.12	HGNC:12621	23326
USP28	ENSG00000048028.11	HGNC:12625	57646
USP32	ENSG00000170832.13	HGNC:19143	84669
USP44	ENSG00000136014.12	HGNC:20064	84101
USP7	ENSG00000187555.16	HGNC:12630	7874
USP8	ENSG00000138592.14	HGNC:12631	9101
VAV1	ENSG00000141968.8	HGNC:12657	7409
VAV2	ENSG00000160293.17	HGNC:12658	7410
WDCP	ENSG00000163026.12	HGNC:26157	80304
WEE1	ENSG00000166483.12	HGNC:12761	7465
WNK2	ENSG00000165238.17	HGNC:14542	65268
WNT2	ENSG00000105989.10	HGNC:12780	7472
WNT5A	ENSG00000114251.15	HGNC:12784	7474
WWC3	ENSG00000047644.20	HGNC:29237	55841
WWOX	ENSG00000186153.18	HGNC:12799	51741
WWP1	ENSG00000123124.14	HGNC:17004	11059
XBP1	ENSG00000100219.17	HGNC:12801	7494
XDH	ENSG00000158125.10	HGNC:12805	7498
XRCC1	ENSG00000073050.12	HGNC:12828	7515
XRCC5	ENSG00000079246.16	HGNC:12833	7520
ZBTB10	ENSG00000205189.12	HGNC:30953	65986
ZBTB20	ENSG00000181722.17	HGNC:13503	26137
ZBTB7B	ENSG00000160685.14	HGNC:18668	51043
ZEB2	ENSG00000169554.23	HGNC:14881	9839
ZFX	ENSG00000005889.16	HGNC:12869	7543
ZHX2	ENSG00000178764.8	HGNC:18513	22882
ZIM3	ENSG00000141946.1	HGNC:16366	114026
ZMIZ1	ENSG00000108175.19	HGNC:16493	57178
ZMYM3	ENSG00000147130.14	HGNC:13054	9203
ZNF331	ENSG00000130844.19	HGNC:15489	55422
ZNF429	ENSG00000197013.11	HGNC:20817	353088
ZNF479	ENSG00000185177.14	HGNC:23258	90827
ZNF521	ENSG00000198795.11	HGNC:24605	25925
NA	NA	HGNC:12252	6964
NA	NA	HGNC:12271	6965
