gene	hgnc_id
ID3	HGNC:5362
IDH1	HGNC:5382
IDH2	HGNC:5383
IFNGR1	HGNC:5439
IGF1	HGNC:5464
IGF1R	HGNC:5465
IGF2	HGNC:5466
IKBKE	HGNC:14552
IKZF1	HGNC:13176
IL10	HGNC:5962
IL7R	HGNC:6024
INHA	HGNC:6065
INHBA	HGNC:6066
INPP4A	HGNC:6074
INPP4B	HGNC:6075
INSR	HGNC:6091
IRF2	HGNC:6117
IRF4	HGNC:6119
IRS1	HGNC:6125
IRS2	HGNC:6126
JAK1	HGNC:6190
JAK2	HGNC:6192
JAK3	HGNC:6193
JUN	HGNC:6204
KAT6A	HGNC:13013
KDM5A	HGNC:9886
KDM5C	HGNC:11114
KDM6A	HGNC:12637
KDR	HGNC:6307
KEAP1	HGNC:23177
KEL	HGNC:6308
KIF5B	HGNC:6324
KIT	HGNC:6342
KLF4	HGNC:6348
KLHL6	HGNC:18653
KMT2B	HGNC:15840
KMT2C	HGNC:13726
KMT2D	HGNC:7133
KRAS	HGNC:6407
LAMP1	HGNC:6499
LATS1	HGNC:6514
LATS2	HGNC:6515
LMO1	HGNC:6641
LRP1B	HGNC:6693
LYN	HGNC:6735
LZTR1	HGNC:6742
MAGI2	HGNC:18957
MALT1	HGNC:6819
MAP2K1	HGNC:6840
MAP2K2	HGNC:6842
MAP2K4	HGNC:6844
MAP3K1	HGNC:6848
MAP3K13	HGNC:6852
MAP3K14	HGNC:6853
MAP3K4	HGNC:6856
MAPK1	HGNC:6871
MAPK3	HGNC:6877
MAX	HGNC:6913
MCL1	HGNC:6943
MDC1	HGNC:21163
MDM2	HGNC:6973
MDM4	HGNC:6974
MED12	HGNC:11957
MEF2B	HGNC:6995
MEN1	HGNC:7010
MET	HGNC:7029
MGA	HGNC:14010
MITF	HGNC:7105
MLH1	HGNC:7127
MLL	HGNC:7132
MLLT3	HGNC:7136
MPL	HGNC:7217
MRE11A	HGNC:7230
MSH2	HGNC:7325
MSH3	HGNC:7326
MSH6	HGNC:7329
MST1	HGNC:7380
MST1R	HGNC:7381
MTOR	HGNC:3942
MUTYH	HGNC:7527
MYB	HGNC:7545
MYC	HGNC:7553
MYCL	HGNC:7555
MYCN	HGNC:7559
MYD88	HGNC:7562
MYOD1	HGNC:7611
NAB2	HGNC:7627
NBN	HGNC:7652
NCOA3	HGNC:7670
NCOR1	HGNC:7672
NEGR1	HGNC:17302
NF1	HGNC:7765
NF2	HGNC:7773
NFE2L2	HGNC:7782
NFKBIA	HGNC:7797
NKX2-1	HGNC:11825
NKX3-1	HGNC:7838
NOTCH1	HGNC:7881
NOTCH2	HGNC:7882
NOTCH3	HGNC:7883
NOTCH4	HGNC:7884
NPM1	HGNC:7910
NRAS	HGNC:7989
NRG1	HGNC:7997
NSD1	HGNC:14234
NTRK1	HGNC:8031
NTRK2	HGNC:8032
NTRK3	HGNC:8033
NUP93	HGNC:28958
NUTM1	HGNC:29919
PAK1	HGNC:8590
PAK3	HGNC:8592
PAK7	HGNC:15916
PALB2	HGNC:26144
PARK2	HGNC:8607
PARP1	HGNC:270
PAX3	HGNC:8617
PAX5	HGNC:8619
PAX7	HGNC:8621
PAX8	HGNC:8622
PBRM1	HGNC:30064
PDCD1	HGNC:8760
PDCD1LG2	HGNC:18731
PDGFRA	HGNC:8803
PDGFRB	HGNC:8804
PDK1	HGNC:8809
PDPK1	HGNC:8816
PGR	HGNC:8910
PHF6	HGNC:18145
PHOX2B	HGNC:9143
PIK3C2B	HGNC:8972
PIK3C2G	HGNC:8973
PIK3C3	HGNC:8974
PIK3CA	HGNC:8975
PIK3CB	HGNC:8976
PIK3CD	HGNC:8977
PIK3CG	HGNC:8978
PIK3R1	HGNC:8979
