gene	reportMissense	reportNonsense	reportSplice	reportDeletion	reportDisruption	reportAmplification	reportSomaticHotspot	likelihoodType	reportGermlineVariant	reportGermlineHotspot	reportGermlineDisruption	reportGermlineDeletion	additionalReportedTranscripts	reportPGX
CD58	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
CD79A	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
CD79B	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
CDC73	true	true	true	true	true	false	true	TSG	VARIANT_NOT_LOST	VARIANT_NOT_LOST	VARIANT_NOT_LOST	WILDTYPE_LOST		false
CDH1	true	true	true	true	true	false	true	TSG	VARIANT_NOT_LOST	VARIANT_NOT_LOST	VARIANT_NOT_LOST	WILDTYPE_LOST		false
CDH10	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
CDK12	true	true	true	true	true	false	true	TSG	VARIANT_NOT_LOST	VARIANT_NOT_LOST	VARIANT_NOT_LOST	WILDTYPE_LOST		false
CDK4	true	false	false	false	false	true	true	ONCO	NONE	VARIANT_NOT_LOST	NONE	NONE		false
CDK6	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
CDKN1A	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
CDKN1B	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
CDKN2A	true	true	true	true	true	false	true	TSG	VARIANT_NOT_LOST	VARIANT_NOT_LOST	VARIANT_NOT_LOST	WILDTYPE_LOST	ENST00000579755	false
CDKN2C	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
CDX2	false	false	false	false	false	true	false	ONCO	NONE	NONE	NONE	NONE		false
CEBPA	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
CHD1	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
CHD4	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
CHEK1	true	true	true	true	true	false	true	TSG	VARIANT_NOT_LOST	VARIANT_NOT_LOST	VARIANT_NOT_LOST	WILDTYPE_LOST		false
CHEK2	true	true	true	true	true	false	true	TSG	VARIANT_NOT_LOST	VARIANT_NOT_LOST	VARIANT_NOT_LOST	WILDTYPE_LOST		false
CIC	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
CNOT3	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
COL2A1	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
CREBBP	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
CRLF2	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
CRYBG1	false	false	false	false	false	true	false	ONCO	NONE	NONE	NONE	NONE		false
CSF1	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
CSF1R	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
CSF3R	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
CSMD1	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
CTCF	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
CTNNA1	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
CTNNB1	true	false	false	true	true	true	true	ONCO	NONE	NONE	NONE	NONE		false
CUL3	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
CUX1	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
CXCR4	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
CYLD	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
CYP2D6	false	false	false	false	false	false	false	TSG	NONE	NONE	NONE	NONE		true
CYP3A4	false	false	false	false	false	false	false	TSG	NONE	NONE	NONE	NONE		true
CYP3A5	false	false	false	false	false	false	false	TSG	NONE	NONE	NONE	NONE		true
DAXX	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
DDR2	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
DDX3X	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
DEPDC5	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
DGCR8	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
