Gene_symbol	Ensembl_ID	hgnc_id
SSX2	ENSG00000268447	HGNC:11336
SSX4	ENSG00000269791	HGNC:11338
STAG1	ENSG00000118007	HGNC:11354
STAG2	ENSG00000101972	HGNC:11355
STAT3	ENSG00000168610	HGNC:11364
STAT5B	ENSG00000173757	HGNC:11367
STAT6	ENSG00000166888	HGNC:11368
STIL	ENSG00000123473	HGNC:10879
STK11	ENSG00000118046	HGNC:11389
STK19	ENSG00000226033	HGNC:11398
STRN	ENSG00000115808	HGNC:11424
SUFU	ENSG00000107882	HGNC:16466
SUZ12	ENSG00000178691	HGNC:17101
SYK	ENSG00000165025	HGNC:11491
TAF1	ENSG00000147133	HGNC:11535
TAF15	ENSG00000270647	HGNC:11547
TAL1	ENSG00000162367	HGNC:11556
TAL2	ENSG00000186051	HGNC:11557
TBL1XR1	ENSG00000177565	HGNC:29529
TBX3	ENSG00000135111	HGNC:11602
TCEA1	ENSG00000187735	HGNC:11612
TCF12	ENSG00000140262	HGNC:11623
TCF3	ENSG00000071564	HGNC:11633
TCF7L2	ENSG00000148737	HGNC:11641
TCL1A	ENSG00000100721	HGNC:11648
TEC	ENSG00000135605	HGNC:11719
TERT	ENSG00000164362	HGNC:11730
TET1	ENSG00000138336	HGNC:29484
TET2	ENSG00000168769	HGNC:25941
TFE3	ENSG00000269748	HGNC:11752
TFEB	ENSG00000112561	HGNC:11753
TFG	ENSG00000114354	HGNC:11758
TFPT	ENSG00000273037	HGNC:13630
TFRC	ENSG00000072274	HGNC:11763
TGFBR2	ENSG00000163513	HGNC:11773
TLE1	ENSG00000196781	HGNC:11837
TLX1	ENSG00000107807	HGNC:5056
TLX3	ENSG00000164438	HGNC:13532
TMEM127	ENSG00000135956	HGNC:26038
TMEM30A	ENSG00000112697	HGNC:16667
TMPRSS13	ENSG00000137747	HGNC:29808
TMPRSS2	ENSG00000184012	HGNC:11876
TNFAIP3	ENSG00000118503	HGNC:11896
TNFRSF11A	ENSG00000141655	HGNC:11908
TNFRSF14	ENSG00000157873	HGNC:11912
TNFRSF17	ENSG00000048462	HGNC:11913
TOP1	ENSG00000198900	HGNC:11986
TP53	ENSG00000141510	HGNC:11998
TP53BP1	ENSG00000067369	HGNC:11999
TP63	ENSG00000073282	HGNC:15979
TPM3	ENSG00000143549	HGNC:12012
TPM4	ENSG00000167460	HGNC:12013
TPR	ENSG00000047410	HGNC:12017
TRAF3	ENSG00000131323	HGNC:12033
TRAF7	ENSG00000131653	HGNC:20456
TRIM24	ENSG00000122779	HGNC:11812
TRIM27	ENSG00000237071	HGNC:9975
TRIM33	ENSG00000197323	HGNC:16290
TRIP11	ENSG00000100815	HGNC:12305
TRRAP	ENSG00000196367	HGNC:12347
TSC1	ENSG00000165699	HGNC:12362
TSC2	ENSG00000103197	HGNC:12363
TSHR	ENSG00000165409	HGNC:12373
TTK	ENSG00000112742	HGNC:12401
TYRO3	ENSG00000092445	HGNC:12446
U2AF1	ENSG00000160201	HGNC:12453
UBR5	ENSG00000104517	HGNC:16806
USP28	ENSG00000048028	HGNC:12625
USP6	ENSG00000129204	HGNC:12629
USP8	ENSG00000138592	HGNC:12631
USP9X	ENSG00000124486	HGNC:12632
VAV1	ENSG00000141968	HGNC:12657
VHL	ENSG00000134086	HGNC:12687
WAS	ENSG00000267912	HGNC:12731
WIF1	ENSG00000156076	HGNC:18081
WNK2	ENSG00000165238	HGNC:14542
WRN	ENSG00000165392	HGNC:12791
WT1	ENSG00000184937	HGNC:12796
WWTR1	ENSG00000018408	HGNC:24042
XPA	ENSG00000136936	HGNC:12814
XPC	ENSG00000154767	HGNC:12816
XPO1	ENSG00000082898	HGNC:12825
YLPM1	ENSG00000119596	HGNC:17798
YWHAE	ENSG00000108953	HGNC:12851
ZBTB16	ENSG00000109906	HGNC:12930
ZBTB7A	ENSG00000178951	HGNC:18078
ZC3H13	ENSG00000123200	HGNC:20368
ZFHX3	ENSG00000140836	HGNC:777
ZFP36L1	ENSG00000185650	HGNC:1107
ZMYM2	ENSG00000121741	HGNC:12989
ZMYM3	ENSG00000147130	HGNC:13054
ZNF292	ENSG00000188994	HGNC:18410
ZNF331	ENSG00000130844	HGNC:15489
ZNF384	ENSG00000126746	HGNC:11955
ZNF479	ENSG00000185177	HGNC:23258
ZNF521	ENSG00000198795	HGNC:24605
ZNF804B	ENSG00000182348	HGNC:21958
ZNRF3	ENSG00000183579	HGNC:18126
ZRSR2	ENSG00000169249	HGNC:23019
