five_gene,three_gene
NUP98,DDX10
NUP98,HOXA13
NUP98,HOXA9
NUP98,HOXC11
NUP98,HOXD13
NUP98,KDM5A
NUP98,NSD1
NUP98,PHF23
NUP98,PSIP1
NUP98,RAP1GDS1
OMD,USP6
P2RY8,CRLF2
PAPSS1,BRAF
PAX3,FOXO1
PAX3,MAML3
PAX3,NCOA1
PAX3,NCOA2
PAX5,AUTS2
PAX5,ELN
PAX5,ETV6
PAX5,JAK2
PAX5,PML
PAX7,FOXO1
PAX8,GLIS3
PAX8,PPARA
PAX8,PPARG
PCM1,JAK2
PDGFRA,PDGFRA
PICALM,MLLT10
PLAGL1,FOXO1
PML,PRAM1
PML,RARA
PPFIBP1,ALK
PRCC,TFE3
PRKAR1A,RET
PRKG2,PDGFRB
PTPRK,RSPO3
PTPRZ1,MET
QKI,NTRK2
QKI,RAF1
RAB2A,PLAG1
RABEP1,PDGFRB
RANBP2,ALK
RARB,TBL1XR1
RBM10,TFE3
RBM15,MAL
RBPMS,NTRK3
RCSD1,ABL1
RNF130,BRAF
RPN1,MECOM
RREB1,MRTFB
RUNX1,CBFA2T3
RUNX1,MECOM
RUNX1,PRDM16
RUNX1,RUNX1T1
RUNX1,USP42
SDC4,ROS1
SEC31A,ALK
SEC31A,JAK2
SERPINE1,FOSB
SET,NUP214
SFPQ,ABL1
SFPQ,TFE3
SLC34A2,ROS1
SLC3A2,NRG1
SLC44A1,PRKCA
SLC45A3,BRAF
SLC45A3,ERG
SLC45A3,ETV1
SLC45A3,ETV5
SND1,BRAF
SNX2,ABL1
SPTBN1,PDGFRB
SQSTM1,ALK
SQSTM1,NTRK1
SRF,E2F1
SRF,FOXO1
SRF,ICA1L
SRF,NCOA1
SRF,NCOA2
SRF,RELA
SRGAP3,RAF1
SS18,SSX1
SS18,SSX2
SS18,SSX4
SS18L1,SSX1
SSBP2,JAK2
STAT5B,RARA
STIL,TAL1
STRN,ALK
STRN,NTRK2
STRN,PDGFRA
STRN3,JAK2
TAF15,NR4A3
TAF15,ZNF384
TBL1XR1,TP63
TCEA1,PLAG1
TCF12,NR4A3
TCF3,HLF
TCF3,PBX1
TEAD1,NCOA2
TFG,ALK
TFG,NR4A3
TFG,NTRK1
TFG,ROS1
TGFBR3,OGA
TGFBR3,PLAG1
THADA,IGF2BP3
THRAP3,USP6
TLX3,BCL11B
TMPRSS2,ERG
TMPRSS2,ETV1
TMPRSS2,ETV4
TMPRSS2,ETV5
TNKS2,PDGFRA
TNS1,ALK
TP53BP1,PDGFRB
TPM3,ALK
TPM3,NTRK1
TPM3,ROS1
TPM4,ALK
TPR,ALK
TPR,MET
TPR,NTRK1
TRAF1,ALK
TRIM24,BRAF
TRIM33,RET
UBE2L3,KRAS
VCL,ALK
VGLL2,CITED2
VGLL2,NCOA1
VGLL2,NCOA2
WWTR1,CAMTA1
YAP1,FAM118B
YAP1,MAMLD1
YAP1,TFE3
YWHAE,IQCK
YWHAE,NUTM2A
YWHAE,NUTM2B
YWHAE,ROS1
ZBTB16,RARA
ZC3H7B,BCOR
ZFP36,FOSB
ZFTA,MRTFB
ZFTA,RELA
ZMIZ1,ABL1
ZMYM2,FGFR1
