gene
BCOR
BCR
CD74
CLTC
CSF1
ETV6
EWSR1
FGFR1
FGFR2
FGFR3
FUS
HMGA2
IGH
IGK
KAT6A
KIF5B
KMT2A
NPM1
NUP98
PAX3
PAX5
PAX8
RUNX1
SLC45A3
SRF
SS18
STRN
TFG
TMPRSS2
TPM3
TPR
YAP1
YWHAE
