gene
ABL1
ALK
BRAF
CRLF2
ERG
ETV1
ETV4
ETV6
FGFR1
JAK2
MAML2
MET
MYC
NCOA1
NCOA2
NFIB
NR4A3
NRG1
NTRK1
NTRK2
NTRK3
NUTM1
PDGFRA
PDGFRB
PHF1
PLAG1
RAF1
RARA
RET
ROS1
TERT
TFE3
TFEB
USP6
