symbol	hgnc_id
GPAA1	HGNC:4446
GPC5	HGNC:4453
GRIN2A	HGNC:4585
GRM3	HGNC:4595
GTF2I	HGNC:4659
H3-3A	HGNC:4764
H3C2	HGNC:4776
HCAR3	HGNC:16824
HDAC4	HGNC:14063
HIP1	HGNC:4913
HLA-A	HGNC:4931
HLA-B	HGNC:4932
HLA-C	HGNC:4933
HNF1A	HGNC:11621
HNRNPA2B1	HGNC:5033
HOXC13	HGNC:5125
HRAS	HGNC:5173
HSP90AA1	HGNC:5253
HSP90AB1	HGNC:5258
HSPG2	HGNC:5273
ID3	HGNC:5362
IDH1	HGNC:5382
IDH2	HGNC:5383
IKBKB	HGNC:5960
IKZF1	HGNC:13176
IKZF3	HGNC:13178
IL6ST	HGNC:6021
IL7R	HGNC:6024
ING1	HGNC:6062
INPPL1	HGNC:6080
IRAK1	HGNC:6112
IRF1	HGNC:6116
IRF4	HGNC:6119
IRS4	HGNC:6128
ITGAV	HGNC:6150
JAK1	HGNC:6190
JAK2	HGNC:6192
JAK3	HGNC:6193
JUN	HGNC:6204
KAT6A	HGNC:13013
KAT6B	HGNC:17582
KDM3B	HGNC:1337
KDM5C	HGNC:11114
KDM6A	HGNC:12637
KDR	HGNC:6307
KDSR	HGNC:4021
KEAP1	HGNC:23177
KIF5B	HGNC:6324
KIT	HGNC:6342
KLF4	HGNC:6348
KLF5	HGNC:6349
KLF6	HGNC:2235
KLHL6	HGNC:18653
KMT2A	HGNC:7132
KMT2B	HGNC:15840
KMT2C	HGNC:13726
KMT2D	HGNC:7133
KMT5A	HGNC:29489
KNL1	HGNC:24054
KNSTRN	HGNC:30767
KRAS	HGNC:6407
LATS1	HGNC:6514
LATS2	HGNC:6515
LDB1	HGNC:6532
LEF1	HGNC:6551
LIFR	HGNC:6597
LPA	HGNC:6667
LRIG3	HGNC:30991
LRP1B	HGNC:6693
LSM14A	HGNC:24489
LTB	HGNC:6711
LYN	HGNC:6735
LZTR1	HGNC:6742
MACC1	HGNC:30215
MAF	HGNC:6776
MAML2	HGNC:16259
MAP2K1	HGNC:6840
MAP2K4	HGNC:6844
MAP2K7	HGNC:6847
MAP3K1	HGNC:6848
MAP3K13	HGNC:6852
MAPK1	HGNC:6871
MARK2	HGNC:3332
MAX	HGNC:6913
MB21D2	HGNC:30438
MDGA2	HGNC:19835
MDM2	HGNC:6973
MDM4	HGNC:6974
MECOM	HGNC:3498
MED12	HGNC:11957
MED23	HGNC:2372
MEF2B	HGNC:6995
MEN1	HGNC:7010
MET	HGNC:7029
MGA	HGNC:14010
MIB2	HGNC:30577
MLLT1	HGNC:7134
MLLT3	HGNC:7136
MLLT6	HGNC:7138
MPL	HGNC:7217
MSI2	HGNC:18585
MSN	HGNC:7373
MTOR	HGNC:3942
MUC20	HGNC:23282
MUC6	HGNC:7517
MYC	HGNC:7553
MYCN	HGNC:7559
MYD88	HGNC:7562
MYEOV	HGNC:7563
MYH11	HGNC:7569
MYH9	HGNC:7579
MYO5A	HGNC:7602
NBEA	HGNC:7648
NCAPH	HGNC:1112
NCOA2	HGNC:7669
NCOR1	HGNC:7672
NCOR2	HGNC:7673
NF1	HGNC:7765
NF2	HGNC:7773
NFATC2	HGNC:7776
NFE2L2	HGNC:7782
NFIB	HGNC:7785
NFKB2	HGNC:7795
NFKBIA	HGNC:7797
NFKBIE	HGNC:7799
NIN	HGNC:14906
NIPBL	HGNC:28862
NKX2-1	HGNC:11825
NOTCH1	HGNC:7881
NOTCH2	HGNC:7882
NPRL2	HGNC:24969
NRAS	HGNC:7989
NRG1	HGNC:7997
NRK	HGNC:25391
NSD1	HGNC:14234
NSD2	HGNC:12766
NSD3	HGNC:12767
NT5C3A	HGNC:17820
NTRK1	HGNC:8031
NTRK3	HGNC:8033
NUMA1	HGNC:8059
NUP214	HGNC:8064
NUTM1	HGNC:29919
NUTM2D	HGNC:23447
NVL	HGNC:8070
NXF1	HGNC:8071
P2RY8	HGNC:15524
PABPC1	HGNC:8554
PARP4	HGNC:271
PAX5	HGNC:8619
PBRM1	HGNC:30064
PCBP1	HGNC:8647
PCM1	HGNC:8727
PCMTD1	HGNC:30483
PDCD1LG2	HGNC:18731
PDE4DIP	HGNC:15580
PDGFRA	HGNC:8803
PDGFRB	HGNC:8804
PEG3	HGNC:8826
PER1	HGNC:8845
PER3	HGNC:8847
PHF6	HGNC:18145
PICALM	HGNC:15514
PIK3CA	HGNC:8975
PIK3CB	HGNC:8976
PIK3R1	HGNC:8979
PIM1	HGNC:8986
PLAG1	HGNC:9045
PLCG1	HGNC:9065
PML	HGNC:9113
PMS2	HGNC:9122
POLD1	HGNC:9175
POLE	HGNC:9177
POLQ	HGNC:9186
POT1	HGNC:17284
POU2F2	HGNC:9213
PPM1D	HGNC:9277
PPP2R1A	HGNC:9302
PPP3CA	HGNC:9314
PPP6C	HGNC:9323
PRDM1	HGNC:9346
PRDM16	HGNC:14000
PRDM2	HGNC:9347
PREX2	HGNC:22950
PRKAR1A	HGNC:9388
PRKCB	HGNC:9395
PRKCD	HGNC:9399
PRKD2	HGNC:17293
PSIP1	HGNC:9527
PSPC1	HGNC:20320
PTCH1	HGNC:9585
PTEN	HGNC:9588
PTK6	HGNC:9617
PTMA	HGNC:9623
PTPN11	HGNC:9644
PTPN13	HGNC:9646
PTPN14	HGNC:9647
PTPN3	HGNC:9655
PTPN6	HGNC:9658
PTPRB	HGNC:9665
PTPRC	HGNC:9666
PTPRD	HGNC:9668
PTPRK	HGNC:9674
PTPRT	HGNC:9682
PTPRU	HGNC:9683
PWWP2A	HGNC:29406
QKI	HGNC:21100
RAC1	HGNC:9801
RAD21	HGNC:9811
RAF1	HGNC:9829
RANBP2	HGNC:9848
RAP1GDS1	HGNC:9859
RASA1	HGNC:9871
RASA2	HGNC:9872
RB1	HGNC:9884
RBFOX1	HGNC:18222
RBM10	HGNC:9896
RBM15	HGNC:14959
RBM38	HGNC:15818
RBM39	HGNC:15923
RECQL4	HGNC:9949
RELA	HGNC:9955
REST	HGNC:9966
RET	HGNC:9967
RGPD3	HGNC:32416
RGS7	HGNC:10003
RHOA	HGNC:667
RHPN2	HGNC:19974
RIPK1	HGNC:10019
RNF213	HGNC:14539
RNF43	HGNC:18505
RNF6	HGNC:10069
ROBO2	HGNC:10250
ROS1	HGNC:10261
RPL10	HGNC:10298
RPL22	HGNC:10315
RPL5	HGNC:10360
RPS3A	HGNC:10421
RPS6KA3	HGNC:10432
RRAGC	HGNC:19902
RRAS2	HGNC:17271
RRN3	HGNC:30346
RSPO2	HGNC:28583
RUNX1	HGNC:10471
RUNX1T1	HGNC:1535
RXRA	HGNC:10477
S100A7	HGNC:10497
SALL4	HGNC:15924
SAMHD1	HGNC:15925
SDCBP	HGNC:10662
SDHA	HGNC:10680
SETBP1	HGNC:15573
SETD1B	HGNC:29187
SETD2	HGNC:18420
SETDB1	HGNC:10761
SF3B1	HGNC:10768
SGK1	HGNC:10810
SH2B3	HGNC:29605
SIN3A	HGNC:19353
SIRPA	HGNC:9662
SIX1	HGNC:10887
SLC34A2	HGNC:11020
SLC35E2A	HGNC:20863
SMAD2	HGNC:6768
SMAD3	HGNC:6769
SMAD4	HGNC:6770
SMARCA1	HGNC:11097
SMARCA2	HGNC:11098
SMARCA4	HGNC:11100
SMARCB1	HGNC:11103
SMARCD1	HGNC:11106
SMC1A	HGNC:11111
SMO	HGNC:11119
SMURF2	HGNC:16809
SNX29	HGNC:30542
SOCS1	HGNC:19383
SOHLH2	HGNC:26026
SOS1	HGNC:11187
SOX17	HGNC:18122
SOX21	HGNC:11197
SOX9	HGNC:11204
SP140	HGNC:17133
SPEN	HGNC:17575
SPOP	HGNC:11254
SRGAP3	HGNC:19744
SRSF2	HGNC:10783
STAG2	HGNC:11355
STAT3	HGNC:11364
STAT5B	HGNC:11367
STAT6	HGNC:11368
STIL	HGNC:10879
STK11	HGNC:11389
SUFU	HGNC:16466
SUSD2	HGNC:30667
SUZ12	HGNC:17101
TAF15	HGNC:11547
TAF1L	HGNC:18056
TAL1	HGNC:11556
TAL2	HGNC:11557
TBL1XR1	HGNC:29529
TBX3	HGNC:11602
TCF12	HGNC:11623
TCF4	HGNC:11634
TCF7L2	HGNC:11641
TCL1A	HGNC:11648
TEC	HGNC:11719
TENT5C	HGNC:24712
TERT	HGNC:11730
TET1	HGNC:29484
TET2	HGNC:25941
TFAP4	HGNC:11745
TFEB	HGNC:11753
TFG	HGNC:11758
TFRC	HGNC:11763
TGFBR1	HGNC:11772
TGFBR2	HGNC:11773
TGIF1	HGNC:11776
TLL1	HGNC:11843
TMSB4X	HGNC:11881
TNC	HGNC:5318
TNFAIP3	HGNC:11896
TNFRSF14	HGNC:11912
TOP1	HGNC:11986
TOP2A	HGNC:11989
TP53	HGNC:11998
TP63	HGNC:15979
TPR	HGNC:12017
TRAF3	HGNC:12033
TRAF7	HGNC:20456
TRIM24	HGNC:11812
TRIM33	HGNC:16290
TRIM49C	HGNC:38877
TRIP11	HGNC:12305
TRPM8	HGNC:17961
TRRAP	HGNC:12347
TSC1	HGNC:12362
TSC2	HGNC:12363
TSHR	HGNC:12373
U2AF1	HGNC:12453
U2AF2	HGNC:23156
UBE2A	HGNC:12472
UBR5	HGNC:16806
UBXN11	HGNC:30600
ULK1	HGNC:12558
USP13	HGNC:12611
USP6	HGNC:12629
USP7	HGNC:12630
USP8	HGNC:12631
USP9X	HGNC:12632
VHL	HGNC:12687
WAS	HGNC:12731
WNK2	HGNC:14542
WT1	HGNC:12796
XPO1	HGNC:12825
ZBTB16	HGNC:12930
ZBTB20	HGNC:13503
ZBTB48	HGNC:4930
ZBTB7B	HGNC:18668
