hgnc_id	tsgene	oncogene	cancer_max_rank
HGNC:1375	FALSE	FALSE	0.700804
HGNC:1383	FALSE	FALSE	0.827957
HGNC:1371	FALSE	FALSE	0.705094
HGNC:1389	FALSE	FALSE	0.591774
HGNC:1390	FALSE	FALSE	0.524936
HGNC:1391	FALSE	TRUE	0.916139
HGNC:1399	FALSE	FALSE	0.907775
HGNC:1403	FALSE	FALSE	0.522879
HGNC:1442	FALSE	FALSE	0.792802
HGNC:1455	FALSE	TRUE	0.977254
HGNC:1464	FALSE	FALSE	0.532003
HGNC:1460	FALSE	FALSE	0.78766099999999994
HGNC:1476	FALSE	FALSE	0.815938
HGNC:1493	TRUE	FALSE	0.767292
HGNC:1499	FALSE	FALSE	0.756858
HGNC:1504	TRUE	FALSE	0.844555
HGNC:1507	FALSE	FALSE	0.597337
HGNC:1508	FALSE	FALSE	0.614253
HGNC:1509	TRUE	FALSE	0.977172
HGNC:1511	TRUE	FALSE	0.880299
HGNC:1500	FALSE	FALSE	0.813131
HGNC:1514	TRUE	TRUE	0.863436
HGNC:1527	TRUE	FALSE	0.512601
HGNC:10471	TRUE	TRUE	0.990733
HGNC:1535	TRUE	TRUE	0.928096
HGNC:1537	TRUE	TRUE	0.871571
HGNC:1539	TRUE	FALSE	0.727078
HGNC:1541	TRUE	TRUE	0.98989
HGNC:1542	TRUE	TRUE	0.859669
HGNC:1569	FALSE	FALSE	0.696658
HGNC:1570	FALSE	FALSE	0.671979
HGNC:1573	FALSE	FALSE	0.616794
HGNC:1578	FALSE	FALSE	0.877635
HGNC:1579	FALSE	TRUE	0.814214
HGNC:1581	TRUE	FALSE	0.642256
HGNC:1583	TRUE	TRUE	0.941397
HGNC:1585	FALSE	TRUE	0.946134
HGNC:1589	FALSE	TRUE	0.962178
HGNC:1592	FALSE	TRUE	0.572654
HGNC:1620	FALSE	FALSE	0.76517
HGNC:1673	FALSE	FALSE	0.874023
HGNC:1674	FALSE	FALSE	0.925282
HGNC:1675	FALSE	FALSE	0.622937
HGNC:1677	FALSE	FALSE	0.535193
HGNC:1678	FALSE	FALSE	0.783099
HGNC:1690	FALSE	FALSE	0.50134
HGNC:1706	FALSE	FALSE	0.534584
HGNC:1628	FALSE	FALSE	0.611804
HGNC:1633	FALSE	FALSE	0.969592
HGNC:7315	FALSE	FALSE	0.995656
HGNC:1643	FALSE	FALSE	0.909644
HGNC:1653	FALSE	TRUE	0.837074
HGNC:1700	FALSE	FALSE	0.609036
HGNC:1705	FALSE	FALSE	0.760411
HGNC:11923	FALSE	FALSE	0.960904
HGNC:1659	FALSE	FALSE	0.883741
HGNC:1663	FALSE	FALSE	0.578138
HGNC:1664	FALSE	FALSE	0.716129
HGNC:1667	FALSE	FALSE	0.923545
HGNC:11919	FALSE	FALSE	0.670721
HGNC:1681	FALSE	TRUE	0.798972
HGNC:1682	FALSE	FALSE	0.63016
HGNC:1688	FALSE	FALSE	0.709818
HGNC:1697	FALSE	TRUE	0.927265
HGNC:1698	FALSE	TRUE	0.904431
HGNC:1699	FALSE	TRUE	0.967854
HGNC:1712	FALSE	FALSE	0.687919
HGNC:1722	FALSE	TRUE	0.87739
HGNC:1717	FALSE	FALSE	0.643392
HGNC:1723	FALSE	TRUE	0.58271
HGNC:1725	FALSE	TRUE	0.567747
HGNC:1727	FALSE	FALSE	0.67581
HGNC:1728	FALSE	FALSE	0.930295
HGNC:1736	FALSE	TRUE	0.522901
HGNC:1748	TRUE	FALSE	0.999158
HGNC:1762	TRUE	TRUE	0.667089
HGNC:1749	TRUE	FALSE	0.860154
HGNC:1750	TRUE	FALSE	0.957071
HGNC:1756	FALSE	TRUE	0.872402
HGNC:1771	FALSE	FALSE	0.771495
HGNC:1773	TRUE	TRUE	0.986057
HGNC:1774	TRUE	FALSE	0.716126
HGNC:1777	TRUE	TRUE	0.987607
HGNC:1778	FALSE	FALSE	0.791355
HGNC:1779	FALSE	TRUE	0.667866
HGNC:1780	FALSE	FALSE	0.697654
HGNC:1784	TRUE	TRUE	0.928021
HGNC:1785	TRUE	TRUE	0.976538
HGNC:1786	TRUE	TRUE	0.696774
HGNC:1787	TRUE	FALSE	0.998122
HGNC:1788	TRUE	FALSE	0.972237
HGNC:1789	TRUE	FALSE	0.964524
HGNC:1791	FALSE	TRUE	0.699196
HGNC:1804	FALSE	FALSE	0.913988
HGNC:1806	TRUE	TRUE	0.960438
HGNC:1817	FALSE	FALSE	0.711139
HGNC:1833	TRUE	TRUE	0.960404
HGNC:1834	FALSE	TRUE	0.587142
HGNC:1836	FALSE	FALSE	0.547599
HGNC:1851	FALSE	FALSE	0.670823
HGNC:1857	FALSE	TRUE	0.542091
HGNC:1874	FALSE	FALSE	0.625097
HGNC:1884	FALSE	FALSE	0.683805
HGNC:1917	TRUE	FALSE	0.768324
HGNC:1918	FALSE	FALSE	0.769327
HGNC:1919	FALSE	TRUE	0.934331
HGNC:1925	FALSE	TRUE	0.862843
HGNC:1950	FALSE	FALSE	0.678149
HGNC:1951	FALSE	FALSE	0.706941
