gene	reportMissense	reportNonsense	reportSplice	reportDeletion	reportDisruption	reportAmplification	reportSomaticHotspot	likelihoodType	reportGermlineVariant	reportGermlineHotspot	reportGermlineDisruption	reportGermlineDeletion	additionalReportedTranscripts	reportPGX
BORCS5	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
BRAF	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
BRCA1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
BRCA2	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
BRD3	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
BRD4	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
BRIP1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
BTG1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
BTK	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
BUB1B	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CAD	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CALR	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CAMTA1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CANT1	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CARD11	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CARS1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CASP8	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CASR	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CBFA2T3	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CBFB	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CBL	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CCDC6	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CCNB1IP1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CCNB3	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CCND1	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CCND2	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CCND3	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CCNE1	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CD19	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CD274	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CD28	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CD74	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CD79A	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CD79B	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CDC73	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CDH1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CDK12	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CDK4	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CDK6	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CDK8	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CDKN1A	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CDKN1B	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CDKN1C	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CDKN2A	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CDKN2B	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CDKN2C	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CDX2	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CEBPA	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CEP83	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CEP89	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CHCHD7	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CHD1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CHD4	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CHEK1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CHEK2	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CHIC2	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CIC	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CIITA	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CLIP1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CLTC	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CNBP	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CNOT3	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
COL1A1	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
COL2A1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
COX6C	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CPSF6	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CREB1	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CREB3L1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CREB3L2	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CREBBP	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CRKL	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CRLF2	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CRTC1	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CRTC3	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CSDE1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CSF1R	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CSF3R	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CTC1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CTCF	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CTLA4	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CTNNA1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CTNNB1	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CTR9	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CUL1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CUL3	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CUX1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CXCR4	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
CYLD	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
CYSLTR2	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
DAB2IP	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
DAXX	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
DAZAP1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
DCTN1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
DCUN1D1	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
DDB2	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
DDIT3	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
DDR2	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
DDX10	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
DDX3X	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
DDX41	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
DDX5	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
DEK	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
DGCR8	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
DICER1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
DIS3	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
DIS3L2	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
DKC1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
DNAJB1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
DNMT1	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
DNMT3A	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
