gene	likelihoodType	hgnc_id	oncogene	tsgene
CDK12	TSG	HGNC:24224	FALSE	TRUE
CDK4	ONCO	HGNC:1773	TRUE	FALSE
CDK5RAP2	NA	HGNC:18672	NA	NA
CDK6	ONCO	HGNC:1777	TRUE	FALSE
CDKN1A	TSG	HGNC:1784	FALSE	TRUE
CDKN1B	TSG	HGNC:1785	FALSE	TRUE
CDKN2A	TSG	HGNC:1787	FALSE	TRUE
CDKN2C	TSG	HGNC:1789	FALSE	TRUE
CDKN2D	NA	HGNC:1790	NA	NA
CDX1	NA	HGNC:1805	NA	NA
CDX2	ONCO	HGNC:1806	TRUE	FALSE
CEBPA	TSG	HGNC:1833	FALSE	TRUE
CEBPE	NA	HGNC:1836	NA	NA
CEP170B	NA	HGNC:20362	NA	NA
CEP43	NA	HGNC:17012	NA	NA
CEP85L	NA	HGNC:21638	NA	NA
CHCHD7	NA	HGNC:28314	NA	NA
CHD1	TSG	HGNC:1915	FALSE	TRUE
CHD4	ONCO	HGNC:1919	TRUE	FALSE
CHD7	NA	HGNC:20626	NA	NA
CHEK1	TSG	HGNC:1925	FALSE	TRUE
CHEK2	TSG	HGNC:16627	FALSE	TRUE
CIC	TSG	HGNC:14214	FALSE	TRUE
CIP2A	NA	HGNC:29302	NA	NA
CITED2	NA	HGNC:1987	NA	NA
CLCN6	NA	HGNC:2024	NA	NA
CLIP1	NA	HGNC:10461	NA	NA
CLTC	NA	HGNC:2092	NA	NA
CNOT3	TSG	HGNC:7879	FALSE	TRUE
CNTRL	NA	HGNC:1858	NA	NA
COL1A1	NA	HGNC:2197	NA	NA
COL1A2	NA	HGNC:2198	NA	NA
COL2A1	ONCO	HGNC:2200	TRUE	FALSE
COL3A1	NA	HGNC:2201	NA	NA
COL6A3	NA	HGNC:2213	NA	NA
CREB1	NA	HGNC:2345	NA	NA
CREB3L1	NA	HGNC:18856	NA	NA
CREB3L2	NA	HGNC:23720	NA	NA
CREBBP	TSG	HGNC:2348	FALSE	TRUE
CREM	NA	HGNC:2352	NA	NA
CRLF2	ONCO	HGNC:14281	TRUE	FALSE
CRTC1	NA	HGNC:16062	NA	NA
CRTC3	NA	HGNC:26148	NA	NA
CRYBG1	ONCO	HGNC:356	TRUE	FALSE
CSF1	TSG	HGNC:2432	FALSE	TRUE
CSF1R	ONCO	HGNC:2433	TRUE	FALSE
CSF3R	ONCO	HGNC:2439	TRUE	FALSE
CSMD1	TSG	HGNC:14026	FALSE	TRUE
CTCF	TSG	HGNC:13723	FALSE	TRUE
CTLA4	NA	HGNC:2505	NA	NA
CTNNA1	TSG	HGNC:2509	FALSE	TRUE
CTNNB1	ONCO	HGNC:2514	TRUE	FALSE
CUL1	NA	HGNC:2551	NA	NA
CUL3	TSG	HGNC:2553	FALSE	TRUE
CUX1	TSG	HGNC:2557	FALSE	TRUE
CXCR4	ONCO	HGNC:2561	TRUE	FALSE
CYLD	TSG	HGNC:2584	FALSE	TRUE
CYP2D6	TSG	HGNC:2625	FALSE	TRUE
CYP3A4	TSG	HGNC:2637	FALSE	TRUE
CYP3A5	TSG	HGNC:2638	FALSE	TRUE
DAXX	TSG	HGNC:2681	FALSE	TRUE
DCTN1	NA	HGNC:2711	NA	NA
DDIT3	NA	HGNC:2726	NA	NA
DDR2	ONCO	HGNC:2731	TRUE	FALSE
DDX10	NA	HGNC:2735	NA	NA
DDX3X	TSG	HGNC:2745	FALSE	TRUE
DEK	NA	HGNC:2768	NA	NA
DEPDC5	TSG	HGNC:18423	FALSE	TRUE
DGCR8	ONCO	HGNC:2847	TRUE	FALSE
DIAPH2	TSG	HGNC:2877	FALSE	TRUE
DICER1	TSG	HGNC:17098	FALSE	TRUE
DLG2	TSG	HGNC:2901	FALSE	TRUE
DMD	TSG	HGNC:2928	FALSE	TRUE
DNAJB1	NA	HGNC:5270	NA	NA
DNM2	TSG	HGNC:2974	FALSE	TRUE
DNMT3A	TSG	HGNC:2978	FALSE	TRUE
DOCK8	TSG	HGNC:19191	FALSE	TRUE
DPYD	TSG	HGNC:3012	FALSE	TRUE
DROSHA	TSG	HGNC:17904	FALSE	TRUE
DTD1	NA	HGNC:16219	NA	NA
DUX4	NA	HGNC:50800	NA	NA
E2F1	NA	HGNC:3113	NA	NA
EBF1	NA	HGNC:3126	NA	NA
EEF1A1	ONCO	HGNC:3189	TRUE	FALSE
EGFR	ONCO	HGNC:3236	TRUE	FALSE
EIF1AX	ONCO	HGNC:3250	TRUE	FALSE
EIF3E	NA	HGNC:3277	NA	NA
EIF5A	NA	HGNC:3300	NA	NA
ELF3	TSG	HGNC:3318	FALSE	TRUE
ELL	NA	HGNC:23114	NA	NA
ELN	NA	HGNC:3327	NA	NA
EML1	NA	HGNC:3330	NA	NA
EML4	TSG	HGNC:1316	FALSE	TRUE
EP300	TSG	HGNC:3373	FALSE	TRUE
EP400	NA	HGNC:11958	NA	NA
EPAS1	ONCO	HGNC:3374	TRUE	FALSE
EPC1	NA	HGNC:19876	NA	NA
EPCAM	TSG	HGNC:11529	FALSE	TRUE
EPHA2	TSG	HGNC:3386	FALSE	TRUE
EPOR	NA	HGNC:3416	NA	NA
EPS15	NA	HGNC:3419	NA	NA
ERBB2	ONCO	HGNC:3430	TRUE	FALSE
ERBB3	ONCO	HGNC:3431	TRUE	FALSE
ERBB4	TSG	HGNC:3432	FALSE	TRUE
ERC1	NA	HGNC:17072	NA	NA
ERCC2	TSG	HGNC:3434	FALSE	TRUE
ERF	TSG	HGNC:3444	FALSE	TRUE
ERG	ONCO	HGNC:3446	TRUE	FALSE
ESR1	ONCO	HGNC:3467	TRUE	FALSE
ETNK1	TSG	HGNC:24649	FALSE	TRUE
ETS2	TSG	HGNC:3489	FALSE	TRUE
ETV1	NA	HGNC:3490	NA	NA
ETV4	NA	HGNC:3493	NA	NA
ETV5	NA	HGNC:3494	NA	NA
ETV6	NA	HGNC:3495	NA	NA
EWSR1	NA	HGNC:3508	NA	NA
EYS	TSG	HGNC:21555	FALSE	TRUE
EZH2	ONCO	HGNC:3527	TRUE	FALSE
EZHIP	NA	HGNC:33738	NA	NA
EZR	NA	HGNC:12691	NA	NA
FAM118B	NA	HGNC:26110	NA	NA
FAM131B	NA	HGNC:22202	NA	NA
FANCA	TSG	HGNC:3582	FALSE	TRUE
FANCC	TSG	HGNC:3584	FALSE	TRUE
FANCD2	TSG	HGNC:3585	FALSE	TRUE
FANCF	TSG	HGNC:3587	FALSE	TRUE
FANCL	TSG	HGNC:20748	FALSE	TRUE
FANCM	TSG	HGNC:23168	FALSE	TRUE
FAT1	TSG	HGNC:3595	FALSE	TRUE
FAT4	TSG	HGNC:23109	FALSE	TRUE
FBXL17	TSG	HGNC:13615	FALSE	TRUE
FBXO11	TSG	HGNC:13590	FALSE	TRUE
FBXW7	TSG	HGNC:16712	FALSE	TRUE
FEV	NA	HGNC:18562	NA	NA
FGF3	ONCO	HGNC:3681	TRUE	FALSE
FGFR1	ONCO	HGNC:3688	TRUE	FALSE
FGFR1OP2	NA	HGNC:23098	NA	NA
FGFR2	ONCO	HGNC:3689	TRUE	FALSE
FGFR3	ONCO	HGNC:3690	TRUE	FALSE
