ensembl_gene_id	symbol	hgnc_id
ENSG00000065526	SPEN	HGNC:17575
ENSG00000121067	SPOP	HGNC:11254
ENSG00000197122	SRC	HGNC:11283
ENSG00000196220	SRGAP3	HGNC:19744
ENSG00000161547	SRSF2	HGNC:10783
ENSG00000112081	SRSF3	HGNC:10785
ENSG00000141380	SS18	HGNC:11340
ENSG00000184402	SS18L1	HGNC:15592
ENSG00000126752	SSX1	HGNC:11335
ENSG00000241476	SSX2	HGNC:11336
ENSG00000204645	SSX4	HGNC:11338
ENSG00000118007	STAG1	HGNC:11354
ENSG00000101972	STAG2	HGNC:11355
ENSG00000168610	STAT3	HGNC:11364
ENSG00000173757	STAT5B	HGNC:11367
ENSG00000166888	STAT6	HGNC:11368
ENSG00000123473	STIL	HGNC:10879
ENSG00000118046	STK11	HGNC:11389
ENSG00000115808	STRN	HGNC:11424
ENSG00000107882	SUFU	HGNC:16466
ENSG00000178691	SUZ12	HGNC:17101
ENSG00000165025	SYK	HGNC:11491
ENSG00000172660	TAF15	HGNC:11547
ENSG00000162367	TAL1	HGNC:11556
ENSG00000186051	TAL2	HGNC:11557
ENSG00000177565	TBL1XR1	HGNC:29529
ENSG00000135111	TBX3	HGNC:11602
ENSG00000187735	TCEA1	HGNC:11612
ENSG00000140262	TCF12	HGNC:11623
ENSG00000071564	TCF3	HGNC:11633
ENSG00000148737	TCF7L2	HGNC:11641
ENSG00000100721	TCL1A	HGNC:11648
ENSG00000135605	TEC	HGNC:11719
ENSG00000164362	TERT	HGNC:11730
ENSG00000138336	TET1	HGNC:29484
ENSG00000168769	TET2	HGNC:25941
ENSG00000068323	TFE3	HGNC:11752
ENSG00000112561	TFEB	HGNC:11753
ENSG00000114354	TFG	HGNC:11758
ENSG00000105619	TFPT	HGNC:13630
ENSG00000072274	TFRC	HGNC:11763
ENSG00000163513	TGFBR2	HGNC:11773
ENSG00000054118	THRAP3	HGNC:22964
ENSG00000107807	TLX1	HGNC:5056
ENSG00000164438	TLX3	HGNC:13532
ENSG00000135956	TMEM127	HGNC:26038
ENSG00000184012	TMPRSS2	HGNC:11876
ENSG00000041982	TNC	HGNC:5318
ENSG00000118503	TNFAIP3	HGNC:11896
ENSG00000157873	TNFRSF14	HGNC:11912
ENSG00000048462	TNFRSF17	HGNC:11913
ENSG00000198900	TOP1	HGNC:11986
ENSG00000141510	TP53	HGNC:11998
ENSG00000073282	TP63	HGNC:15979
ENSG00000143549	TPM3	HGNC:12012
ENSG00000167460	TPM4	HGNC:12013
ENSG00000047410	TPR	HGNC:12017
ENSG00000131653	TRAF7	HGNC:20456
ENSG00000122779	TRIM24	HGNC:11812
ENSG00000204713	TRIM27	HGNC:9975
ENSG00000197323	TRIM33	HGNC:16290
ENSG00000100815	TRIP11	HGNC:12305
ENSG00000196367	TRRAP	HGNC:12347
ENSG00000165699	TSC1	HGNC:12362
ENSG00000103197	TSC2	HGNC:12363
ENSG00000165409	TSHR	HGNC:12373
ENSG00000160201	U2AF1	HGNC:12453
ENSG00000104517	UBR5	HGNC:16806
ENSG00000136014	USP44	HGNC:20064
ENSG00000129204	USP6	HGNC:12629
ENSG00000138592	USP8	HGNC:12631
ENSG00000141968	VAV1	HGNC:12657
ENSG00000134086	VHL	HGNC:12687
ENSG00000151532	VTI1A	HGNC:17792
ENSG00000015285	WAS	HGNC:12731
ENSG00000109685	WHSC1	HGNC:12766
ENSG00000147548	WHSC1L1	HGNC:12767
ENSG00000156076	WIF1	HGNC:18081
ENSG00000165238	WNK2	HGNC:14542
ENSG00000165392	WRN	HGNC:12791
ENSG00000184937	WT1	HGNC:12796
ENSG00000018408	WWTR1	HGNC:24042
ENSG00000136936	XPA	HGNC:12814
ENSG00000154767	XPC	HGNC:12816
ENSG00000082898	XPO1	HGNC:12825
ENSG00000108953	YWHAE	HGNC:12851
ENSG00000109906	ZBTB16	HGNC:12930
ENSG00000033030	ZCCHC8	HGNC:25265
ENSG00000148516	ZEB1	HGNC:11642
ENSG00000140836	ZFHX3	HGNC:777
ENSG00000121741	ZMYM2	HGNC:12989
ENSG00000147130	ZMYM3	HGNC:13054
ENSG00000130844	ZNF331	HGNC:15489
ENSG00000126746	ZNF384	HGNC:11955
ENSG00000197013	ZNF429	HGNC:20817
ENSG00000185177	ZNF479	HGNC:23258
ENSG00000198795	ZNF521	HGNC:24605
ENSG00000183579	ZNRF3	HGNC:18126
ENSG00000169249	ZRSR2	HGNC:23019
