ensembl_gene_id	symbol	hgnc_id
ENSG00000108821	COL1A1	HGNC:2197
ENSG00000139219	COL2A1	HGNC:2200
ENSG00000168542	COL3A1	HGNC:2201
ENSG00000164919	COX6C	HGNC:2285
ENSG00000107864	CPEB3	HGNC:21746
ENSG00000118260	CREB1	HGNC:2345
ENSG00000157613	CREB3L1	HGNC:18856
ENSG00000182158	CREB3L2	HGNC:23720
ENSG00000005339	CREBBP	HGNC:2348
ENSG00000205755	CRLF2	HGNC:14281
ENSG00000101343	CRNKL1	HGNC:15762
ENSG00000105662	CRTC1	HGNC:16062
ENSG00000140577	CRTC3	HGNC:26148
ENSG00000182578	CSF1R	HGNC:2433
ENSG00000119535	CSF3R	HGNC:2439
ENSG00000164796	CSMD3	HGNC:19291
ENSG00000102974	CTCF	HGNC:13723
ENSG00000066032	CTNNA2	HGNC:2510
ENSG00000168036	CTNNB1	HGNC:2514
ENSG00000198561	CTNND1	HGNC:2515
ENSG00000169862	CTNND2	HGNC:2516
ENSG00000036257	CUL3	HGNC:2553
ENSG00000257923	CUX1	HGNC:2557
ENSG00000121966	CXCR4	HGNC:2561
ENSG00000083799	CYLD	HGNC:2584
ENSG00000138115	CYP2C8	HGNC:2622
ENSG00000152207	CYSLTR2	HGNC:18274
ENSG00000204209	DAXX	HGNC:2681
ENSG00000198354	DCAF12L2	HGNC:32950
ENSG00000187323	DCC	HGNC:2701
ENSG00000204843	DCTN1	HGNC:2711
ENSG00000134574	DDB2	HGNC:2718
ENSG00000175197	DDIT3	HGNC:2726
ENSG00000162733	DDR2	HGNC:2731
ENSG00000178105	DDX10	HGNC:2735
ENSG00000215301	DDX3X	HGNC:2745
ENSG00000108654	DDX5	HGNC:2746
ENSG00000110367	DDX6	HGNC:2747
ENSG00000124795	DEK	HGNC:2768
ENSG00000128191	DGCR8	HGNC:2847
ENSG00000100697	DICER1	HGNC:17098
ENSG00000132002	DNAJB1	HGNC:5270
ENSG00000079805	DNM2	HGNC:2974
ENSG00000119772	DNMT3A	HGNC:2978
ENSG00000113360	DROSHA	HGNC:17904
ENSG00000258389	DUX4	HGNC:50800
ENSG00000164330	EBF1	HGNC:3126
ENSG00000203734	ECT2L	HGNC:21118
ENSG00000074266	EED	HGNC:3188
ENSG00000146648	EGFR	HGNC:3236
ENSG00000173674	EIF1AX	HGNC:3250
ENSG00000104408	EIF3E	HGNC:3277
ENSG00000156976	EIF4A2	HGNC:3284
ENSG00000163435	ELF3	HGNC:3318
ENSG00000102034	ELF4	HGNC:3319
ENSG00000158711	ELK4	HGNC:3326
ENSG00000105656	ELL	HGNC:23114
ENSG00000049540	ELN	HGNC:3327
ENSG00000143924	EML4	HGNC:1316
ENSG00000100393	EP300	HGNC:3373
ENSG00000116016	EPAS1	HGNC:3374
ENSG00000044524	EPHA3	HGNC:3387
ENSG00000135333	EPHA7	HGNC:3390
ENSG00000085832	EPS15	HGNC:3419
ENSG00000141736	ERBB2	HGNC:3430
ENSG00000065361	ERBB3	HGNC:3431
ENSG00000178568	ERBB4	HGNC:3432
ENSG00000082805	ERC1	HGNC:17072
ENSG00000104884	ERCC2	HGNC:3434
ENSG00000163161	ERCC3	HGNC:3435
ENSG00000175595	ERCC4	HGNC:3436
ENSG00000134899	ERCC5	HGNC:3437
ENSG00000157554	ERG	HGNC:3446
ENSG00000091831	ESR1	HGNC:3467
ENSG00000139163	ETNK1	HGNC:24649
ENSG00000006468	ETV1	HGNC:3490
ENSG00000175832	ETV4	HGNC:3493
ENSG00000244405	ETV5	HGNC:3494
ENSG00000139083	ETV6	HGNC:3495
ENSG00000182944	EWSR1	HGNC:3508
ENSG00000182197	EXT1	HGNC:3512
ENSG00000151348	EXT2	HGNC:3513
ENSG00000106462	EZH2	HGNC:3527
ENSG00000092820	EZR	HGNC:12691
ENSG00000159784	FAM131B	HGNC:22202
ENSG00000147724	FAM135B	HGNC:28029
ENSG00000183508	FAM46C	HGNC:24712
ENSG00000198173	FAM47C	HGNC:25301
ENSG00000187741	FANCA	HGNC:3582
ENSG00000158169	FANCC	HGNC:3584
ENSG00000144554	FANCD2	HGNC:3585
ENSG00000112039	FANCE	HGNC:3586
ENSG00000183161	FANCF	HGNC:3587
ENSG00000221829	FANCG	HGNC:3588
ENSG00000026103	FAS	HGNC:11920
ENSG00000083857	FAT1	HGNC:3595
ENSG00000165323	FAT3	HGNC:23112
ENSG00000196159	FAT4	HGNC:23109
ENSG00000163520	FBLN2	HGNC:3601
ENSG00000138081	FBXO11	HGNC:13590
ENSG00000109670	FBXW7	HGNC:16712
ENSG00000072694	FCGR2B	HGNC:3618
ENSG00000163518	FCRL4	HGNC:18507
ENSG00000168496	FEN1	HGNC:3650
ENSG00000182511	FES	HGNC:3657
ENSG00000163497	FEV	HGNC:18562
ENSG00000077782	FGFR1	HGNC:3688
ENSG00000213066	FGFR1OP	HGNC:17012
ENSG00000066468	FGFR2	HGNC:3689
ENSG00000068078	FGFR3	HGNC:3690
ENSG00000160867	FGFR4	HGNC:3691
ENSG00000091483	FH	HGNC:3700
ENSG00000189283	FHIT	HGNC:3701
ENSG00000145216	FIP1L1	HGNC:19124
ENSG00000122642	FKBP9	HGNC:3725
ENSG00000154803	FLCN	HGNC:27310
ENSG00000151702	FLI1	HGNC:3749
ENSG00000196924	FLNA	HGNC:3754
ENSG00000122025	FLT3	HGNC:3765
ENSG00000037280	FLT4	HGNC:3767
ENSG00000187239	FNBP1	HGNC:17069
ENSG00000129514	FOXA1	HGNC:5021
ENSG00000183770	FOXL2	HGNC:1092
ENSG00000150907	FOXO1	HGNC:3819
ENSG00000118689	FOXO3	HGNC:3821
ENSG00000184481	FOXO4	HGNC:7139
ENSG00000114861	FOXP1	HGNC:3823
ENSG00000176302	FOXR1	HGNC:29980
