symbol	ensembl_gene_id	hgnc_id	hgnc_ensembl_gene_id
ERCC3	ENSG00000163161	HGNC:3435	ENSG00000163161
ERCC4	ENSG00000175595	HGNC:3436	ENSG00000175595
ERCC5	ENSG00000134899	HGNC:3437	ENSG00000134899
ERCC6	ENSG00000225830	HGNC:3438	ENSG00000225830
ERG	ENSG00000157554	HGNC:3446	ENSG00000157554
ESR1	ENSG00000091831	HGNC:3467	ENSG00000091831
ETV6	ENSG00000139083	HGNC:3495	ENSG00000139083
EXO1	ENSG00000174371	HGNC:3511	ENSG00000174371
EXT1	ENSG00000182197	HGNC:3512	ENSG00000182197
EXT2	ENSG00000151348	HGNC:3513	ENSG00000151348
EZH2	ENSG00000106462	HGNC:3527	ENSG00000106462
FAH	ENSG00000103876	HGNC:3579	ENSG00000103876
FAN1	ENSG00000198690	HGNC:29170	ENSG00000198690
FANCA	ENSG00000187741	HGNC:3582	ENSG00000187741
FANCB	ENSG00000181544	HGNC:3583	ENSG00000181544
FANCC	ENSG00000158169	HGNC:3584	ENSG00000158169
FANCD2	ENSG00000144554	HGNC:3585	ENSG00000144554
FANCE	ENSG00000112039	HGNC:3586	ENSG00000112039
FANCF	ENSG00000183161	HGNC:3587	ENSG00000183161
FANCG	ENSG00000221829	HGNC:3588	ENSG00000221829
FANCI	ENSG00000140525	HGNC:25568	ENSG00000140525
FANCL	ENSG00000115392	HGNC:20748	ENSG00000115392
FANCM	ENSG00000187790	HGNC:23168	ENSG00000187790
FAS	ENSG00000026103	HGNC:11920	ENSG00000026103
FAT1	ENSG00000083857	HGNC:3595	ENSG00000083857
FBXW7	ENSG00000109670	HGNC:16712	ENSG00000109670
FEN1	ENSG00000168496	HGNC:3650	ENSG00000168496
FGF23	ENSG00000118972	HGNC:3680	ENSG00000118972
FGFR1	ENSG00000077782	HGNC:3688	ENSG00000077782
FGFR2	ENSG00000066468	HGNC:3689	ENSG00000066468
FGFR3	ENSG00000068078	HGNC:3690	ENSG00000068078
FH	ENSG00000091483	HGNC:3700	ENSG00000091483
FHIT	ENSG00000189283	HGNC:3701	ENSG00000189283
FLCN	ENSG00000154803	HGNC:27310	ENSG00000154803
FLT3	ENSG00000122025	HGNC:3765	ENSG00000122025
FMR1	ENSG00000102081	HGNC:3775	ENSG00000102081
FOXE1	ENSG00000178919	HGNC:3806	ENSG00000178919
FOXO1	ENSG00000150907	HGNC:3819	ENSG00000150907
FOXO3	ENSG00000118689	HGNC:3821	ENSG00000118689
FOXO4	ENSG00000184481	HGNC:7139	ENSG00000184481
FOXP1	ENSG00000114861	HGNC:3823	ENSG00000114861
